Player,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,labels
Austin Croshere,0.92,1.05,1.98,0.08,-1.26,-0.36,-1.62,0.31,107.5,264.14,0.39,31.0,91.21,0.32,76.5,172.93,0.43,0.45,76.5,89.14,0.75,50.79,140.86,191.64,45.43,17.57,15.5,47.29,78.5,322.5,2
Austin Daye,0.06,0.44,0.53,0.05,-2.43,-0.73,-3.15,-0.07,60.92,152.25,0.38,22.08,61.75,0.33,38.83,90.5,0.43,0.45,19.75,25.58,0.74,14.5,67.92,82.42,23.25,12.17,12.33,21.75,51.58,163.67,0
Austin Rivers,0.26,0.73,0.99,0.03,-1.64,-1.51,-3.14,-0.39,184.57,443.29,0.41,45.0,133.0,0.33,139.57,310.29,0.45,0.46,78.57,120.0,0.65,19.71,99.29,119.0,128.57,37.57,9.29,65.29,124.57,492.71,2
Avery Bradley,0.34,1.73,2.07,0.03,-2.23,-0.36,-2.6,0.26,289.29,654.0,0.43,74.29,203.0,0.32,215.0,451.0,0.46,0.48,62.57,81.0,0.74,39.29,141.29,180.57,100.29,63.71,12.43,80.71,126.43,715.43,2
Avery Johnson,1.69,1.15,2.84,0.08,-1.39,-2.14,-3.52,-0.14,187.14,391.05,0.46,1.45,9.77,0.13,185.68,381.27,0.47,0.46,81.45,115.5,0.69,19.45,70.41,89.86,301.27,52.5,8.0,91.27,86.18,457.18,2
Awvee Storey,0.03,0.03,0.1,0.03,-2.73,-3.07,-5.8,-0.07,19.33,46.67,0.38,1.33,5.33,0.31,18.0,41.33,0.37,0.4,7.67,15.0,0.52,14.33,12.67,27.0,7.0,3.33,0.67,5.0,22.0,47.67,0
Axel Toupane,0.1,0.03,0.17,0.07,-2.13,-0.9,-3.03,-0.03,11.67,29.0,0.51,5.0,15.67,0.3,6.67,13.33,0.67,0.58,4.33,5.67,0.76,2.67,8.33,11.0,5.0,3.0,2.67,2.0,17.0,32.67,0
B.J. Armstrong,2.25,0.96,3.2,0.1,-0.74,-2.02,-2.75,0.11,199.67,418.8,0.46,30.13,71.73,0.39,169.53,347.07,0.48,0.49,82.93,96.93,0.85,14.0,81.73,95.73,179.33,38.27,3.13,63.73,82.2,512.4,2
B.J. Tyler,-1.2,0.5,-0.7,-0.04,-4.6,-2.6,-7.2,-1.1,72.0,189.0,0.38,16.0,51.0,0.31,56.0,138.0,0.41,0.42,35.0,50.0,0.7,13.0,49.0,62.0,174.0,36.0,2.0,97.0,58.0,195.0,0
Bailey Howell*,3.2,1.8,5.0,0.15,-1.1,-0.5,-1.5,0.1,324.0,686.0,0.47,9.0,32.0,0.2,324.0,686.0,0.47,0.47,230.0,315.0,0.73,45.0,117.0,441.0,115.0,33.0,13.0,12.6,234.0,878.0,2
Baron Davis,2.17,1.95,4.14,0.1,3.01,-0.62,2.36,2.24,321.65,788.0,0.4,90.06,279.53,0.32,231.59,508.47,0.45,0.46,154.41,215.65,0.72,48.76,157.94,206.71,398.71,99.35,23.65,152.06,154.71,887.76,1
Barry Clemens,1.3,0.87,2.18,0.1,-1.5,-0.45,-1.88,0.02,184.83,376.5,0.49,8.5,29.58,0.31,184.83,376.5,0.49,0.49,58.33,73.33,0.81,36.71,100.5,189.83,76.67,38.0,8.83,14.68,139.17,428.0,2
Barry Nelson,-0.1,0.1,0.1,0.03,-0.9,-1.2,-1.9,0.0,15.0,36.0,0.42,15.0,49.0,0.0,15.0,36.0,0.42,0.42,5.0,10.0,0.5,26.0,84.0,20.0,7.0,36.0,7.0,12.75,21.0,35.0,0
Barry Stevens,0.0,0.0,0.0,0.16,3.4,-8.3,-4.9,0.0,1.0,2.0,0.5,0.0,0.0,0.31,1.0,2.0,0.5,0.5,0.0,0.0,0.76,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0
Barry Sumpter,0.0,0.0,0.0,-0.89,-31.1,-12.4,-43.5,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
