Player,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,labels
Don Ford,0.62,0.96,1.59,0.06,-2.39,-0.08,-2.47,-0.03,160.44,344.67,0.46,5.78,19.56,0.19,160.22,343.56,0.46,0.46,48.22,61.78,0.81,65.33,143.11,208.44,79.11,32.89,17.78,41.4,126.11,369.33,2
Don Kojis,2.14,0.74,2.9,0.09,-1.76,-0.34,-2.06,0.06,299.6,642.8,0.47,2.6,10.6,0.31,299.6,642.8,0.47,0.47,154.6,199.2,0.76,71.8,146.7,278.0,82.4,30.8,19.2,15.02,140.8,753.8,2
Don MacLean,0.78,0.27,1.03,0.03,-3.2,-2.54,-5.72,-0.32,146.67,322.44,0.4,6.22,21.89,0.4,140.44,300.56,0.39,0.42,88.22,115.33,0.73,39.56,94.89,134.44,44.89,13.11,5.67,44.22,66.44,387.78,0
Don May,1.19,0.59,1.77,0.08,-1.43,-1.44,-2.74,-0.07,202.86,440.14,0.46,13.14,43.43,0.31,202.86,440.14,0.46,0.46,93.14,116.29,0.81,25.43,82.29,193.29,57.29,29.0,7.29,12.74,111.43,498.86,2
Don Nelson*,4.08,2.45,6.53,0.18,-0.05,-0.78,-0.77,0.53,345.33,703.67,0.49,8.5,29.17,0.3,345.33,703.67,0.49,0.49,239.5,303.0,0.8,69.17,179.0,388.17,144.5,26.5,12.33,14.0,191.67,930.17,1
Don Reid,0.6,0.89,1.48,0.07,-3.71,1.24,-2.47,0.27,64.3,121.1,0.48,0.0,0.1,0.18,64.3,121.0,0.48,0.48,31.2,47.2,0.64,46.8,80.3,127.1,15.4,20.6,31.3,27.6,125.3,159.8,0
Don Smith,-0.2,0.3,0.0,0.0,-3.0,-4.2,-7.2,-0.7,131.0,321.0,0.41,0.0,1.0,0.33,131.0,321.0,0.41,0.41,21.0,21.0,1.0,14.0,16.0,30.0,47.0,20.0,3.0,15.3,45.0,283.0,0
Donald Hodge,-0.03,0.37,0.32,0.03,-4.25,0.03,-4.22,-0.32,78.5,180.17,0.42,0.67,2.33,0.08,77.83,177.83,0.42,0.42,42.33,59.5,0.72,52.5,86.0,138.5,32.5,14.17,17.17,39.67,92.83,200.0,0
Donald Royal,0.98,0.58,1.58,0.06,-2.9,-1.1,-3.98,0.0,80.85,173.15,0.42,0.0,1.23,0.14,80.85,171.92,0.43,0.42,104.31,134.77,0.8,48.0,77.08,125.08,41.69,21.31,8.54,46.15,77.15,266.0,0
Donald Sloan,0.18,0.23,0.42,0.01,-2.92,-1.81,-4.74,-0.24,61.67,152.67,0.38,11.89,40.0,0.2,49.78,112.67,0.42,0.41,26.22,34.56,0.73,8.33,52.78,61.11,88.11,11.22,1.22,32.44,27.44,161.44,0
Donald Whiteside,0.0,0.05,0.05,-0.05,-5.05,-3.2,-8.25,-0.15,9.5,28.5,0.41,6.0,18.5,0.17,3.5,10.0,0.66,0.47,5.5,8.5,0.37,1.0,5.5,6.5,18.5,5.5,0.0,9.0,11.5,30.5,0
Donatas Motiejunas,0.54,0.9,1.46,0.06,-2.12,-0.64,-2.74,0.02,145.6,310.4,0.45,24.2,80.8,0.28,121.4,229.6,0.52,0.49,49.8,83.0,0.6,59.2,130.6,189.8,54.0,23.6,16.2,56.8,106.4,365.2,2
Donell Taylor,-0.35,0.35,0.0,-0.0,-3.6,-0.6,-4.2,-0.2,54.5,138.0,0.4,3.5,17.0,0.21,51.0,121.0,0.42,0.41,20.5,32.0,0.61,15.0,38.0,53.0,45.0,23.5,3.5,29.5,40.5,133.0,0
Donnell Harvey,0.26,0.53,0.82,0.11,-2.3,0.44,-1.86,-0.12,72.22,155.89,0.54,0.11,1.44,0.15,72.11,154.44,0.54,0.54,39.78,60.22,0.66,43.22,92.11,135.33,24.33,15.78,14.56,31.89,78.67,184.33,0
Donnie Boyce,-0.3,0.2,-0.15,-0.04,-3.9,-0.35,-4.25,-0.1,15.0,43.0,0.36,3.0,12.0,0.31,12.0,31.0,0.37,0.41,6.5,13.0,0.5,6.0,6.5,12.5,8.0,6.5,2.5,11.0,9.5,39.5,0
Donnie Freeman,1.5,0.9,2.4,0.08,-0.1,-1.7,-1.8,0.1,263.0,606.0,0.43,0.0,3.0,0.33,263.0,606.0,0.43,0.43,163.0,199.0,0.82,72.0,108.0,180.0,171.0,57.0,11.0,13.9,160.0,689.0,2
Donny Marshall,-0.08,0.22,0.16,-0.11,-9.94,-3.26,-13.2,-0.14,17.4,54.2,0.25,8.4,25.0,0.22,9.0,29.2,0.26,0.28,15.4,22.6,0.72,7.8,16.4,24.2,7.2,7.4,1.0,9.0,21.4,58.6,3
Donta Smith,0.1,0.15,0.25,0.06,-1.65,-1.1,-2.7,-0.1,29.5,70.0,0.47,4.0,13.0,0.39,25.5,57.0,0.49,0.5,19.5,30.0,0.59,11.0,22.0,33.0,24.0,15.5,2.5,14.5,35.0,82.5,0
Dontae' Jones,-0.4,0.0,-0.3,-0.18,-7.0,-4.7,-11.8,-0.2,19.0,57.0,0.33,6.0,23.0,0.26,13.0,34.0,0.38,0.39,0.0,0.0,0.76,3.0,6.0,9.0,5.0,2.0,3.0,11.0,12.0,44.0,3
Donte Greene,-0.2,0.6,0.4,0.01,-2.85,-1.45,-4.3,-0.5,146.25,360.25,0.39,41.25,135.5,0.29,105.0,224.75,0.46,0.45,51.5,73.5,0.74,35.0,115.0,150.0,45.75,27.75,29.0,55.5,93.25,385.25,2
Dontell Jefferson,0.0,0.1,0.2,0.09,-3.1,1.1,-2.0,0.0,11.0,22.0,0.5,1.0,2.0,0.5,10.0,20.0,0.5,0.52,6.0,9.0,0.67,1.0,11.0,12.0,9.0,4.0,1.0,6.0,9.0,29.0,0
Dontonio Wingfield,0.0,0.42,0.42,-0.03,-6.05,-2.75,-8.8,0.05,39.25,101.0,0.29,11.75,38.0,0.28,27.5,63.0,0.33,0.32,15.5,21.5,0.68,30.25,38.5,68.75,19.0,9.75,3.75,22.25,47.75,105.75,3
Donyell Marshall,1.49,1.85,3.33,0.1,-0.37,0.37,0.0,1.09,235.38,543.05,0.42,53.19,152.33,0.34,182.19,390.71,0.45,0.47,91.52,125.95,0.73,108.05,256.95,365.0,73.43,44.48,51.24,73.29,124.19,615.48,2
Dorell Wright,1.25,1.11,2.36,0.06,-2.23,0.29,-1.94,0.67,150.64,355.27,0.41,56.09,153.73,0.32,94.55,201.55,0.45,0.47,60.55,75.09,0.79,34.09,156.18,190.27,77.27,38.0,24.64,43.18,71.82,417.91,2
Dorian Finney-Smith,-0.1,1.5,1.4,0.04,-2.8,1.3,-1.5,0.2,124.0,333.0,0.37,56.0,191.0,0.29,68.0,142.0,0.48,0.46,46.0,61.0,0.75,55.0,166.0,221.0,67.0,52.0,25.0,45.0,125.0,350.0,2
Dorie Murrey,0.22,0.62,0.82,0.09,-1.28,-0.35,-1.55,0.08,49.75,117.25,0.36,6.75,24.75,0.2,49.75,117.25,0.36,0.36,43.5,65.75,0.69,51.5,125.0,142.0,20.25,31.25,14.5,12.92,93.5,143.0,0
Doron Lamb,-0.22,0.15,-0.05,-0.02,-4.47,-2.33,-6.8,-0.5,45.75,121.5,0.38,16.0,41.0,0.38,29.75,80.5,0.37,0.44,17.25,26.0,0.64,6.0,29.25,35.25,26.75,9.25,0.25,19.75,39.5,124.75,0
Doug Christie,1.38,1.66,3.06,0.06,-1.15,0.85,-0.31,1.37,185.16,435.42,0.4,45.58,128.42,0.3,139.58,307.0,0.43,0.45,113.63,138.47,0.8,45.74,149.68,195.42,174.11,89.74,22.58,101.05,120.95,529.53,2
Doug Collins,3.42,1.34,4.75,0.11,0.5,-1.39,-0.86,1.06,365.88,729.88,0.48,5.62,20.0,0.29,365.88,729.75,0.48,0.48,196.62,236.0,0.83,57.38,110.0,167.38,171.0,64.75,14.25,67.14,155.62,928.38,1
Doug Edwards,-0.2,0.27,0.1,0.01,-5.5,0.17,-5.33,-0.2,23.67,62.67,0.39,0.0,2.0,0.0,23.67,60.67,0.4,0.39,20.33,28.67,0.68,20.33,30.67,51.0,20.0,5.67,9.0,19.0,30.0,67.67,0
Doug Lee,0.13,0.1,0.27,0.08,-1.83,-1.5,-3.33,-0.03,20.33,49.33,0.36,6.0,19.33,0.33,14.33,30.0,0.35,0.44,9.33,13.33,0.72,5.67,8.33,14.0,10.67,5.67,1.67,6.67,21.33,56.0,0
Doug McDermott,1.0,0.58,1.6,0.06,-1.86,-2.66,-4.48,-0.42,155.6,349.0,0.44,55.4,142.8,0.37,100.2,206.2,0.49,0.52,44.8,53.4,0.79,16.6,102.6,119.2,36.2,8.8,3.4,29.2,62.8,411.4,0
Doug Overton,-0.01,0.1,0.1,-0.0,-3.67,-2.85,-6.52,-0.43,56.16,136.95,0.43,6.53,21.32,0.24,49.63,115.63,0.45,0.45,22.95,28.37,0.8,8.79,33.32,42.11,66.89,12.68,1.16,30.63,38.21,141.79,0
Doug Roth,0.0,0.4,0.4,0.05,-4.0,0.4,-3.7,-0.2,37.0,86.0,0.43,0.0,1.0,0.0,37.0,85.0,0.44,0.43,7.0,14.0,0.5,44.0,76.0,120.0,20.0,8.0,13.0,16.0,70.0,81.0,0
Doug Smith,-0.36,0.96,0.6,-0.0,-3.96,-0.56,-4.5,-0.3,204.0,479.8,0.41,0.6,7.2,0.1,203.4,472.6,0.42,0.41,62.6,81.0,0.74,78.8,168.0,246.8,80.0,44.8,30.0,70.6,195.8,471.2,2
Doug West,1.0,0.44,1.48,0.04,-2.32,-1.18,-3.51,-0.18,219.25,456.08,0.44,3.08,16.17,0.1,216.17,439.92,0.45,0.45,98.17,122.5,0.79,44.33,94.83,139.17,107.67,38.25,15.75,68.58,155.17,539.75,2
Dragan Bender,-0.7,0.3,-0.3,-0.03,-4.0,-0.3,-4.3,-0.3,57.0,161.0,0.35,28.0,101.0,0.28,29.0,60.0,0.48,0.44,4.0,11.0,0.36,23.0,80.0,103.0,23.0,10.0,22.0,32.0,74.0,146.0,0
Dragan Tarlac,-0.4,0.2,-0.2,-0.02,-6.0,-0.3,-6.3,-0.7,39.0,99.0,0.39,0.0,0.0,0.0,39.0,99.0,0.39,0.39,25.0,33.0,0.76,37.0,85.0,122.0,31.0,7.0,19.0,38.0,95.0,103.0,0
Draymond Green,2.38,4.22,6.58,0.13,-0.6,3.8,3.18,3.28,256.6,590.0,0.42,72.2,216.4,0.32,184.4,373.6,0.47,0.47,127.8,184.0,0.71,98.0,438.8,536.8,325.4,108.0,83.0,143.6,220.0,713.2,1
Drazen Petrovic*,2.87,1.13,4.0,0.12,1.78,-1.87,-0.1,0.97,324.67,643.67,0.49,46.33,108.0,0.37,278.33,535.67,0.51,0.52,151.67,180.5,0.82,48.5,81.33,129.83,131.17,51.33,4.67,112.83,147.17,847.33,2
Drew Barry,0.1,0.08,0.14,0.05,-2.16,-3.84,-5.98,-0.12,11.6,27.2,0.43,6.2,16.2,0.39,5.4,11.0,0.46,0.54,5.6,7.2,0.77,1.6,14.2,15.8,28.8,4.2,0.4,13.6,19.6,35.0,0
Drew Gooden,1.01,1.43,2.43,0.09,-2.12,-0.48,-2.6,0.03,201.91,437.39,0.46,4.48,17.74,0.16,197.43,419.65,0.47,0.46,101.35,132.09,0.78,110.26,218.74,329.0,50.22,31.13,27.74,70.17,116.09,509.65,2
Drew Gordon,-0.2,0.1,-0.1,-0.09,-9.0,-2.3,-11.3,-0.2,8.0,19.0,0.42,0.0,3.0,0.0,8.0,16.0,0.5,0.42,1.0,2.0,0.5,7.0,11.0,18.0,2.0,1.0,0.0,8.0,7.0,17.0,3
Duane Causwell,0.33,1.11,1.44,0.07,-4.29,1.78,-2.54,0.15,93.55,184.45,0.5,0.18,0.64,0.06,93.36,183.82,0.5,0.5,53.45,86.55,0.58,72.18,134.45,206.64,22.09,20.0,69.73,45.45,133.73,240.73,2
Duane Cooper,-0.45,0.15,-0.25,-0.03,-5.05,-3.9,-8.95,-0.65,40.0,99.5,0.42,4.0,18.5,0.19,36.0,81.0,0.46,0.43,18.0,25.0,0.72,7.5,22.0,29.5,89.0,10.5,1.0,44.5,39.0,102.0,0
Duane Ferrell,0.82,0.58,1.42,0.04,-2.54,-1.14,-3.67,0.04,129.09,269.18,0.42,3.82,13.27,0.23,125.27,255.91,0.43,0.42,74.73,99.64,0.69,50.18,52.73,102.91,46.27,27.45,9.55,46.27,82.0,336.73,0
Duane Washington,0.1,0.1,0.15,-0.01,-5.85,-0.35,-6.2,0.0,9.0,23.5,0.21,1.0,2.0,0.41,8.0,21.5,0.21,0.23,8.0,10.0,0.79,2.5,9.5,12.0,19.5,6.5,0.0,5.5,12.5,27.0,3
Duck Williams,-0.9,0.6,-0.3,-0.01,-3.2,-1.3,-4.4,-1.1,232.0,519.0,0.45,0.0,12.0,0.0,232.0,507.0,0.46,0.45,42.0,60.0,0.7,21.0,85.0,106.0,183.0,100.0,11.0,107.0,166.0,506.0,2
Dudley Bradley,0.09,1.75,1.84,0.07,-1.81,1.95,0.14,0.76,137.8,314.4,0.42,13.8,44.6,0.28,124.0,269.8,0.45,0.45,66.0,90.0,0.71,34.2,88.2,122.4,129.7,105.4,22.5,77.0,139.0,355.4,2
Duje Dukan,0.0,0.0,0.0,-0.06,-3.9,-2.8,-6.7,0.0,2.0,10.0,0.2,2.0,5.0,0.4,0.0,5.0,0.0,0.3,0.0,0.0,0.76,2.0,2.0,4.0,1.0,1.0,0.0,0.0,2.0,6.0,3
Dwayne Jones,0.1,0.2,0.35,0.05,-6.62,-1.6,-8.17,-0.05,8.25,16.25,0.38,0.0,0.25,0.15,8.25,16.0,0.38,0.38,10.25,20.75,0.53,21.5,25.75,47.25,3.0,2.75,7.25,6.5,27.75,26.75,0
Dwayne McClain,-0.9,0.6,-0.3,-0.03,-4.6,-0.2,-4.8,-0.3,69.0,180.0,0.38,1.0,9.0,0.11,68.0,171.0,0.4,0.39,18.0,35.0,0.51,14.0,16.0,30.0,67.0,38.0,4.0,40.0,61.0,157.0,0
Dwayne Morton,0.0,0.2,0.2,0.02,-3.7,-1.3,-5.1,-0.3,50.0,129.0,0.39,9.0,25.0,0.36,41.0,104.0,0.39,0.42,58.0,85.0,0.68,21.0,37.0,58.0,18.0,11.0,15.0,27.0,45.0,167.0,0
Dwayne Polee,-0.1,0.0,0.0,-0.4,-11.6,-2.5,-14.0,0.0,1.0,4.0,0.25,0.0,3.0,0.0,1.0,1.0,1.0,0.25,0.0,0.0,0.79,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,3
Dwayne Schintzius,-0.22,0.36,0.11,0.02,-5.74,1.03,-4.71,-0.18,32.0,79.12,0.37,0.12,1.0,0.06,31.88,78.12,0.37,0.37,9.25,14.5,0.72,20.88,46.12,67.0,11.62,3.75,14.62,14.88,40.12,73.38,0
Dwayne Whitfield,0.0,0.0,0.0,0.01,-5.4,-3.2,-8.5,-0.2,13.0,30.0,0.43,0.0,0.0,0.2,13.0,30.0,0.43,0.43,14.0,22.0,0.64,9.0,16.0,25.0,2.0,3.0,2.0,8.0,14.0,40.0,0
Dwight Anderson,0.0,0.0,0.0,0.0,-3.9,-5.1,-9.0,-0.1,7.0,14.0,0.5,0.0,0.0,0.32,7.0,14.0,0.5,0.5,7.0,10.0,0.7,0.0,2.0,2.0,3.0,1.0,0.0,5.0,7.0,21.0,0
Dwight Buycks,-0.05,0.1,0.05,0.01,-3.2,-1.55,-4.7,-0.1,16.5,44.0,0.38,6.0,14.0,0.46,10.5,30.0,0.35,0.45,8.5,9.5,0.89,3.0,14.5,17.5,12.0,5.5,0.0,11.0,7.0,47.5,0
Dwight Davis,0.48,1.82,2.28,0.07,-1.8,-0.1,-1.92,0.26,226.0,533.8,0.43,9.0,31.0,0.2,226.0,533.8,0.43,0.43,135.2,185.2,0.72,89.4,228.6,398.2,105.8,34.4,32.4,14.0,215.2,587.2,2
Dwight Howard,4.32,5.05,9.36,0.17,-0.36,2.78,2.42,3.0,460.62,787.46,0.59,0.38,4.31,0.11,460.23,783.15,0.59,0.59,359.31,635.0,0.56,260.92,669.0,929.92,109.69,71.62,147.38,218.08,237.85,1280.92,1
Dwight Jones,1.01,1.21,2.19,0.07,-1.76,-0.4,-2.14,0.17,204.57,431.93,0.47,3.36,11.57,0.19,204.5,431.71,0.47,0.47,109.71,149.71,0.72,118.14,252.57,370.71,76.71,34.86,33.0,74.73,175.43,518.93,2
Dwight Powell,1.02,0.74,1.78,0.14,-0.86,0.92,0.04,0.36,80.4,161.4,0.54,5.8,22.4,0.23,74.6,139.0,0.57,0.56,52.4,69.8,0.71,42.6,93.2,135.8,22.2,23.0,15.0,19.2,66.6,219.0,0
Dwyane Wade,5.25,3.13,8.37,0.17,3.77,0.95,4.72,4.14,552.79,1141.07,0.48,30.79,107.29,0.27,522.0,1033.79,0.5,0.5,386.29,502.93,0.77,81.43,232.64,314.07,369.5,107.14,57.14,215.71,149.0,1522.64,1
Dyron Nix,-0.1,0.1,0.0,-0.02,-5.9,-2.4,-8.3,-0.2,14.0,39.0,0.36,0.0,0.0,0.31,14.0,39.0,0.36,0.36,11.0,16.0,0.69,8.0,18.0,26.0,5.0,3.0,1.0,7.0,15.0,39.0,3
E'Twaun Moore,0.38,0.88,1.23,0.05,-1.65,-0.75,-2.43,-0.07,167.83,385.67,0.43,46.33,125.5,0.37,121.5,260.17,0.46,0.49,32.83,43.83,0.76,24.17,87.0,111.17,108.0,38.17,15.83,51.67,90.0,414.83,2
E.C. Coleman,0.52,1.62,2.13,0.08,-2.05,0.87,-1.13,0.17,184.0,396.33,0.51,5.33,19.5,0.2,184.0,396.33,0.51,0.51,57.5,82.83,0.74,110.17,248.33,358.5,78.67,50.83,23.67,24.95,201.67,425.5,2
Earl Barron,-0.25,0.18,-0.08,-0.01,-6.35,-1.64,-7.99,-0.24,23.46,64.38,0.35,0.23,1.38,0.04,23.23,63.0,0.35,0.36,11.15,16.31,0.65,18.62,29.77,48.38,6.08,4.54,3.23,10.31,26.15,58.31,3
Earl Boykins,1.3,0.33,1.64,0.09,1.07,-3.5,-2.43,-0.05,130.79,312.84,0.43,25.79,72.68,0.31,105.0,240.16,0.46,0.46,78.68,89.68,0.83,18.05,37.68,55.74,129.68,24.42,1.95,48.05,41.79,366.05,0
Earl Clark,-0.22,0.57,0.34,0.02,-5.09,0.09,-5.0,-0.25,61.8,154.4,0.39,12.3,37.7,0.24,49.5,116.7,0.42,0.42,19.9,30.7,0.61,25.4,76.8,102.2,16.1,10.8,17.9,23.4,43.5,155.8,0
Earl Cureton,0.15,1.07,1.23,0.04,-3.67,0.17,-3.51,0.15,127.71,269.5,0.44,0.0,1.29,0.03,127.71,268.21,0.44,0.44,43.71,81.21,0.47,100.07,158.79,258.86,57.14,26.71,29.79,57.71,123.07,299.14,2
Earl Evans,-0.1,0.2,0.1,0.02,-2.2,-2.1,-4.3,-0.2,63.0,140.0,0.45,7.0,18.0,0.39,56.0,122.0,0.46,0.48,24.0,42.0,0.57,26.0,49.0,75.0,37.0,14.0,1.0,36.0,64.0,157.0,0
Earl Jones,-0.05,0.05,0.0,-0.18,-10.35,-0.85,-11.15,-0.05,2.5,6.5,0.21,0.0,0.0,0.0,2.5,6.5,0.21,0.21,1.5,2.0,0.71,2.0,3.0,5.0,2.0,0.0,0.5,4.0,6.5,6.5,3
Earl Monroe*,3.0,1.44,4.47,0.1,0.3,-1.7,-1.37,0.59,412.25,877.42,0.46,7.25,25.42,0.33,412.25,877.42,0.46,0.46,194.25,238.75,0.81,32.33,116.75,157.83,216.08,55.25,12.75,36.46,146.17,1018.75,1
Earl Tatum,0.51,1.09,1.61,0.05,-1.74,-0.85,-2.6,0.3,237.38,516.12,0.45,6.12,21.62,0.33,237.12,515.38,0.45,0.45,61.62,81.62,0.74,41.75,96.0,137.75,109.5,67.12,21.88,71.72,130.12,536.62,2
Earl Watson,0.41,1.05,1.46,0.05,-1.01,-0.82,-1.83,0.11,155.4,376.53,0.4,40.8,121.53,0.31,114.6,255.0,0.43,0.45,62.8,89.6,0.71,32.4,110.47,142.87,277.33,62.73,12.4,112.27,127.6,414.4,2
Earl Williams,-0.02,0.7,0.68,-0.02,-2.65,-0.18,-2.8,0.02,72.5,167.75,0.33,10.0,34.0,0.0,72.5,167.75,0.33,0.33,21.0,44.25,0.5,75.25,128.25,203.5,31.5,15.5,15.5,15.2,67.5,166.0,0
Ed Davis,2.39,1.58,4.0,0.15,-0.81,1.52,0.71,1.0,180.56,323.33,0.55,0.0,0.11,0.13,180.56,323.22,0.55,0.55,72.33,125.67,0.58,138.67,252.67,391.33,51.33,32.56,59.44,48.89,152.89,433.44,2
Ed Gray,-0.35,0.4,0.05,-0.01,-4.0,-2.8,-6.75,-0.45,65.0,192.0,0.34,15.0,44.0,0.34,50.0,148.0,0.34,0.38,41.5,51.0,0.8,8.0,28.5,36.5,23.0,13.5,6.0,29.5,51.5,186.5,0
Ed Horton,0.1,0.3,0.4,0.05,-1.2,-2.9,-4.1,-0.2,80.0,162.0,0.49,0.0,4.0,0.0,80.0,158.0,0.51,0.49,42.0,69.0,0.61,59.0,49.0,108.0,19.0,9.0,5.0,39.0,63.0,202.0,0
Ed Manning,0.2,1.5,1.7,0.05,-1.8,0.1,-1.7,0.0,243.0,559.0,0.44,0.0,3.0,0.2,243.0,559.0,0.44,0.44,75.0,93.0,0.81,72.0,149.0,411.0,111.0,26.0,19.0,13.9,198.0,561.0,2
Ed Nealy,0.54,0.57,1.15,0.09,-2.08,0.51,-1.56,0.2,42.29,86.86,0.47,3.29,11.36,0.21,39.0,75.5,0.5,0.49,22.86,33.57,0.66,44.21,94.43,138.64,30.07,19.64,3.86,17.14,69.93,110.71,0
Ed O'Bannon,-0.22,0.58,0.38,0.0,-4.25,-0.9,-5.15,-0.35,85.5,239.5,0.33,11.5,49.0,0.2,74.0,190.5,0.36,0.36,34.75,44.5,0.85,41.25,74.75,116.0,35.25,25.5,8.75,25.5,72.25,217.25,0
Ed Pinckney,2.0,1.28,3.29,0.13,-0.59,0.86,0.29,0.84,150.31,283.38,0.52,0.0,1.69,0.08,150.31,281.69,0.52,0.52,122.75,159.56,0.78,115.12,188.56,303.69,57.31,47.44,33.06,65.06,118.06,423.38,2
Ed Rains,0.05,0.25,0.35,0.03,-2.3,-1.2,-3.5,-0.15,55.0,130.0,0.42,0.0,1.5,0.0,55.0,128.5,0.42,0.42,33.5,53.5,0.63,31.0,31.0,62.0,31.0,14.0,1.5,25.0,54.5,143.5,0
Ed Ratleff,1.52,1.22,2.74,0.07,-0.92,0.56,-0.36,1.02,232.0,510.8,0.45,7.2,25.0,0.31,232.0,510.8,0.45,0.45,98.6,122.8,0.78,93.0,179.6,272.6,179.2,86.0,28.6,24.32,160.2,562.6,2
Ed Searcy,0.0,0.0,0.0,-0.09,-5.8,-8.1,-13.9,0.0,2.0,6.0,0.33,14.0,46.0,0.31,2.0,6.0,0.33,0.33,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,12.8,4.0,6.0,3
Ed Sherod,-0.2,2.7,2.5,0.07,-1.9,1.7,-0.3,0.7,171.0,421.0,0.41,1.0,13.0,0.08,170.0,408.0,0.42,0.41,52.0,80.0,0.65,43.0,106.0,149.0,311.0,96.0,14.0,104.0,112.0,395.0,2
Ed Stokes,-0.1,0.0,0.0,-0.08,-9.3,3.9,-5.4,0.0,1.0,3.0,0.33,0.0,0.0,0.0,1.0,3.0,0.33,0.33,1.0,2.0,0.5,1.0,3.0,4.0,1.0,1.0,2.0,2.0,4.0,3.0,3
Eddie Basden,-0.1,0.3,0.2,0.06,-4.0,2.7,-1.4,0.0,15.0,37.0,0.4,1.0,7.0,0.14,14.0,30.0,0.47,0.42,8.0,10.0,0.8,7.0,21.0,28.0,8.0,9.0,2.0,9.0,17.0,39.0,0
Eddie Gill,-0.02,0.27,0.23,-0.02,-4.63,-1.58,-6.22,-0.04,21.22,58.56,0.36,7.56,23.56,0.33,13.67,35.0,0.37,0.42,17.67,20.67,0.85,3.22,22.22,25.44,26.56,12.33,1.78,16.44,25.22,67.67,0
Eddie Griffin,0.3,1.88,2.16,0.05,-3.8,1.34,-2.48,0.32,170.8,452.6,0.35,47.4,150.4,0.24,123.4,302.2,0.38,0.39,45.2,67.4,0.69,99.4,249.4,348.8,47.2,21.0,103.6,45.4,101.2,434.2,2
Eddie House,0.46,0.97,1.43,0.07,-0.28,-1.71,-1.98,0.09,151.0,368.62,0.41,58.75,151.25,0.4,92.25,217.38,0.41,0.48,28.38,33.06,0.86,12.06,76.38,88.44,80.81,34.62,4.44,40.69,67.06,389.12,2
Eddie Hughes,0.07,0.4,0.47,0.06,-1.87,-1.3,-3.1,-0.03,38.67,93.0,0.41,9.33,25.67,0.3,29.33,67.33,0.49,0.46,12.0,17.33,0.75,8.0,23.0,31.0,53.0,21.67,1.0,18.67,40.67,98.67,0
Eddie Johnson,2.36,1.13,3.49,0.08,0.58,-2.3,-1.72,0.54,385.73,815.21,0.47,24.39,73.04,0.3,362.0,744.48,0.48,0.49,170.03,207.15,0.81,73.33,135.27,208.61,196.42,48.21,8.55,124.61,153.27,965.21,2
Eddie Jones,3.49,2.61,6.09,0.13,2.09,0.88,2.97,2.72,298.33,683.5,0.43,92.89,250.61,0.36,205.44,432.89,0.48,0.5,167.56,207.78,0.79,46.78,188.83,235.61,172.61,100.72,36.0,91.5,151.94,857.11,1
Eddie Jordan,-0.38,1.23,0.85,0.01,-3.46,0.66,-2.82,0.15,133.15,322.69,0.4,5.15,19.46,0.23,131.0,313.23,0.41,0.4,70.77,93.46,0.71,21.85,56.77,78.62,158.23,78.08,9.46,90.15,91.46,339.23,2
Eddie Lee,-0.18,0.6,0.43,0.04,-3.9,-3.15,-7.03,-0.78,99.33,211.17,0.48,0.0,1.5,0.0,99.33,209.67,0.48,0.48,57.0,101.0,0.56,66.67,100.33,167.0,10.33,13.67,10.0,48.0,101.5,255.67,0
Eddie Mast,-0.23,0.37,0.1,0.02,-0.93,-1.03,-1.87,0.03,38.0,98.67,0.38,12.67,42.33,0.2,38.0,98.67,0.38,0.38,18.33,30.33,0.6,30.0,91.67,88.33,17.0,36.67,8.0,14.03,38.0,94.33,0
Eddie Miles,0.2,0.85,1.0,0.04,-1.3,-0.65,-1.9,0.0,137.5,327.5,0.39,7.0,24.5,0.33,137.5,327.5,0.39,0.39,67.0,82.5,0.85,45.5,112.0,91.5,63.5,33.0,11.5,15.35,82.5,342.0,0
Eddie Owens,0.0,0.0,0.0,0.03,-2.0,-2.8,-4.9,0.0,9.0,21.0,0.43,0.0,1.0,0.31,9.0,21.0,0.43,0.43,3.0,6.0,0.5,5.0,5.0,10.0,5.0,1.0,0.0,3.0,9.0,21.0,0
Eddie Phillips,-0.6,0.7,0.1,0.01,-5.4,0.1,-5.3,-0.4,56.0,138.0,0.41,0.0,2.0,0.0,56.0,136.0,0.41,0.41,40.0,59.0,0.68,27.0,50.0,77.0,29.0,14.0,8.0,50.0,58.0,152.0,0
Eddie Robinson,0.98,1.04,2.04,0.08,-1.7,-0.24,-1.92,0.12,170.4,336.2,0.5,1.6,6.4,0.26,168.8,329.8,0.51,0.5,45.2,61.2,0.73,48.2,104.6,152.8,50.4,43.2,18.2,43.0,69.0,387.6,2
Eddy Curry,1.08,0.87,1.98,0.01,-5.2,-3.15,-8.35,-0.45,234.36,430.36,0.56,0.18,0.18,0.18,234.18,430.18,0.56,0.56,151.09,235.27,0.59,86.09,161.64,247.73,26.09,14.09,34.91,106.73,142.0,620.0,2
