,college,height,name,position,url,weight,3PA,3P%,3P,FGA,FG%,FG,FT%,FTA,FT,G,PTS,labels
1259,University of Georgia,6-1,Sundiata Gaines,G,/players/g/gainesu01.html,185.0,3.3,0.303,1.0,10.0,0.411,4.1,0.591,4.6,2.7,123.0,11.9,1
1260,Elizabeth City State University,6-4,Mike Gale,G,/players/g/galemi01.html,185.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
1261,Creighton University,6-10,Chad Gallagher,C,/players/g/gallach01.html,255.0,0.2,0.545,0.1,11.9,0.551,6.5,0.72,3.9,2.8,124.0,16.0,3
1262,Truman State University,6-6,Harry Gallatin,F-C,/players/g/gallaha01.html,210.0,0.1,0.28800000000000003,0.0,9.6,0.535,5.2,0.679,4.2,2.7,100.0,13.5,3
1263,Saint Joseph's University,6-2,Langston Galloway,G,/players/g/gallola01.html,200.0,6.1,0.426,2.6,11.3,0.438,4.9,0.821,3.1,2.5,133.0,15.0,1
1264,Oregon State University,6-6,Dave Gambee,F,/players/g/gambeda01.html,215.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
1265,University of Iowa,6-5,Kevin Gamble,F-G,/players/g/gamblke01.html,210.0,2.2,0.329,0.7,5.8,0.529,3.0,0.6970000000000001,1.7,1.2,65.0,7.6,2
1266,Duke University,6-4,Bob Gantt,F-C,/players/g/ganttbo01.html,205.0,0.1,0.28800000000000003,0.0,9.6,0.535,5.2,0.679,4.2,2.7,100.0,13.5,3
1267,Providence College,6-9,Ruben Garces,F,/players/g/garceru01.html,245.0,0.0,0.333,0.0,7.2,0.519,3.7,0.41,2.2,0.9,65.0,8.4,2
1268,University of Louisville,6-7,Francisco Garcia,F-G,/players/g/garcifr01.html,195.0,5.0,0.369,1.8,10.5,0.448,4.7,0.8490000000000001,3.7,3.2,98.0,14.4,1
1269,University of Colorado,6-8,Chuck Gardner,F,/players/g/gardnch01.html,205.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
1270,DePauw University,6-3,Earl Gardner,F,/players/g/gardnea01.html,195.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
1271,University of Utah,6-5,Kenneth Gardner,F,/players/g/gardnke01.html,205.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
1272,University of Missouri,6-5,Thomas Gardner,G,/players/g/gardnth01.html,225.0,6.0,0.336,2.0,10.3,0.396,4.1,0.777,2.3,1.8,89.0,12.0,1
1273,University of Utah,6-5,Vern Gardner,F-C,/players/g/gardnve01.html,200.0,0.1,0.28800000000000003,0.0,9.6,0.535,5.2,0.679,4.2,2.7,100.0,13.5,3
1274,St. John's University,6-0,Jack Garfinkel,G,/players/g/garfija01.html,190.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
1275,George Washington University,6-6,Patricio Garino,G-F,/players/g/garinpa01.html,210.0,2.2,0.364,0.8,8.7,0.508,4.4,0.6709999999999999,3.6,2.4,129.0,12.0,3
1276,DePaul University,6-4,Gary Garland,G,/players/g/garlaga01.html,180.0,3.8,0.366,1.4,11.4,0.441,5.0,0.7959999999999999,1.8,1.4,106.0,11.5,1
1277,Missouri State University,6-2,Winston Garland,G,/players/g/garlawi01.html,170.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
1278,University of Minnesota,6-3,Dick Garmaker,G-F,/players/g/garmadi01.html,200.0,3.1,0.355,1.2,11.0,0.477,5.2,0.7375,3.8,2.7,103.0,13.9,1
1279,University of Portland,6-10,Bill Garner,C,/players/g/garnebi01.html,220.0,0.0,0.25,0.0,7.4,0.5429999999999999,4.1,0.648,3.5,2.2,102.0,10.5,2
1280,University of Memphis,5-10,Chris Garner,G,/players/g/garnech01.html,156.0,1.9,0.262,0.5,6.3,0.428,2.7,0.5589999999999999,1.7,1.0,123.0,6.9,2
1281,University of Wyoming,6-9,Bill Garnett,F,/players/g/garnebi02.html,225.0,0.9,0.333,0.3,9.1,0.5479999999999999,5.0,0.77,5.0,3.9,115.0,13.9,3
1282,Santa Clara University,6-2,Marlon Garnett,G,/players/g/garnema01.html,186.0,5.0,0.398,2.0,9.3,0.443,4.1,0.787,3.1,2.4,106.0,12.7,1
1283,"Austin Peay State University, Oral Roberts University",6-7,Calvin Garrett,F,/players/g/garreca01.html,190.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
1284,Indiana University,6-10,Dean Garrett,C,/players/g/garrede01.html,225.0,0.0,0.25,0.0,10.2,0.5379999999999999,5.5,0.672,3.8,2.5,63.0,13.6,3
1285,Iowa State University,6-4,Diante Garrett,G,/players/g/garredi02.html,190.0,2.6,0.297,0.8,9.7,0.407,3.9,0.7290000000000001,2.7,2.0,128.0,10.7,1
1286,Southern Illinois University,6-3,Dick Garrett,G,/players/g/garredi01.html,185.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
1287,Florida State University,6-6,Rowland Garrett,F,/players/g/garrero01.html,210.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
1288,University of Rhode Island,6-2,Tom Garrick,G,/players/g/garrito01.html,185.0,1.8,0.444,0.8,10.3,0.474,4.9,0.784,3.8,2.9,120.0,13.1,1
1289,"University of Michigan, Boston College",6-8,John Garris,F,/players/g/garrijo01.html,205.0,0.9,0.333,0.3,7.0,0.579,4.0,0.716,3.2,2.3,94.0,10.4,2
1290,University of Illinois at Urbana-Champaign,6-2,Kiwane Garris,G,/players/g/garriki01.html,183.0,4.5,0.363,1.6,12.0,0.411,4.9,0.83,6.4,5.3,116.0,16.8,0
1291,University of Notre Dame,6-9,Pat Garrity,F,/players/g/garripa01.html,238.0,2.5,0.358,0.9,13.8,0.488,6.7,0.747,5.9,4.4,111.0,18.8,0
1292,Boston University,6-7,Jim Garvin,F,/players/g/garviji01.html,200.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
1293,Sam Houston State University,6-0,Frank Gates,G,/players/g/gatesfr01.html,160.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
1294,Old Dominion University,6-10,Chris Gatling,F-C,/players/g/gatlich01.html,220.0,0.0,0.0,0.0,13.5,0.606,8.2,0.6890000000000001,7.1,4.9,85.0,21.3,0
1295,Old Dominion University,6-8,Kenny Gattison,F-C,/players/g/gattike01.html,225.0,0.1,0.28800000000000003,0.0,9.4,0.552,5.2,0.65,4.5,3.0,122.0,13.3,3
1296,University of Connecticut,6-8,Rudy Gay,F,/players/g/gayru01.html,230.0,2.3,0.378,0.9,10.8,0.461,5.0,0.721,3.8,2.8,64.0,13.6,1
1297,Washington State University,6-4,Ed Gayda,G-F,/players/g/gaydaed01.html,210.0,3.1,0.355,1.2,11.0,0.477,5.2,0.7375,3.8,2.7,103.0,13.9,1
1298,Seton Hall University,6-7,Andrew Gaze,G,/players/g/gazean01.html,205.0,5.8,0.425,2.5,8.8,0.509,4.5,0.726,3.0,2.2,38.0,13.6,1
1299,"Duke University, Syracuse University",6-7,Michael Gbinije,G,/players/g/gbinimi01.html,200.0,3.4,0.387,1.3,7.5,0.454,3.4,0.639,2.6,1.7,120.0,9.8,1
1300,University of Arizona,6-2,Reggie Geary,G,/players/g/gearyre01.html,187.0,2.6,0.34700000000000003,0.9,5.7,0.4320000000000001,2.5,0.589,2.0,1.2,127.0,7.0,2
1301,University of Alabama,6-6,Alonzo Gee,G,/players/g/geeal01.html,225.0,2.8,0.325,0.9,10.4,0.447,4.7,0.632,4.0,2.5,128.0,12.7,1
1302,"Auburn University, Georgia Institute of Technology",7-0,Matt Geiger,C,/players/g/geigema01.html,243.0,0.1,0.0,0.0,8.3,0.545,4.5,0.687,3.3,2.3,120.0,11.4,2
1303,Augsburg College,6-8,Devean George,G-F,/players/g/georgde01.html,220.0,3.1,0.355,1.2,11.0,0.477,5.2,0.7375,3.8,2.7,103.0,13.9,1
1304,La Salle University,6-2,Jack George,G,/players/g/georgja01.html,190.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
1305,"California State University, Fresno",6-9,Paul George,F,/players/g/georgpa01.html,220.0,4.9,0.396,1.9,11.4,0.447,5.1,0.8029999999999999,4.2,3.4,63.0,15.5,1
1306,University of Connecticut,6-5,Tate George,G,/players/g/georgta01.html,190.0,0.9,0.322,0.3,7.7,0.448,3.5,0.773,3.3,2.5,128.0,9.7,1
1307,Georgia Institute of Technology,6-5,Marcus Georges-Hunt,G,/players/g/georgma01.html,216.0,2.9,0.329,0.9,10.1,0.433,4.4,0.7490000000000001,4.8,3.6,130.0,13.3,1
1308,University of Virginia,6-8,Gus Gerard,F-G,/players/g/gerargu01.html,200.0,2.4,0.36,0.9,15.8,0.474,7.5,0.708,4.2,3.0,52.0,17.9,0
1309,University of Texas at San Antonio,6-8,Derrick Gervin,F,/players/g/gervide01.html,200.0,0.9,0.333,0.3,14.9,0.5479999999999999,8.1,0.78,6.2,4.9,80.0,21.1,0
1310,Eastern Michigan University,6-7,George Gervin,G-F,/players/g/gervige01.html,180.0,3.1,0.355,1.2,11.0,0.477,5.2,0.7375,3.8,2.7,103.0,13.9,1
1311,Temple University,6-4,Gorham Getchell,C,/players/g/getchgo01.html,205.0,0.0,0.25,0.0,7.4,0.5429999999999999,4.1,0.648,3.5,2.2,102.0,10.5,2
1312,University of the Pacific,6-10,John Gianelli,C-F,/players/g/gianejo01.html,220.0,0.1,0.222,0.0,14.8,0.526,7.8,0.721,6.9,5.0,81.0,20.5,0
1313,University of Texas at El Paso,6-5,Dick Gibbs,F-G,/players/g/gibbsdi01.html,210.0,2.4,0.36,0.9,11.6,0.496,5.8,0.7304999999999999,4.15,3.0,108.0,15.1,1
1314,University of Texas at Austin,6-2,Daniel Gibson,G,/players/g/gibsoda01.html,190.0,6.6,0.387,2.6,10.5,0.411,4.3,0.741,3.4,2.5,68.0,13.8,1
1315,Western Kentucky University,5-11,Dee Gibson,F-G,/players/g/gibsode01.html,175.0,2.4,0.36,0.9,11.6,0.496,5.8,0.7304999999999999,4.15,3.0,108.0,15.1,1
1316,Creighton University,6-5,Hoot Gibson,F-C,/players/g/gibsoho01.html,198.0,0.1,0.28800000000000003,0.0,9.6,0.535,5.2,0.679,4.2,2.7,100.0,13.5,3
1317,New Mexico State University,6-2,Jonathan Gibson,G,/players/g/gibsojo01.html,185.0,5.0,0.398,2.0,9.3,0.436,4.0,0.758,2.2,1.7,131.0,11.8,1
1318,Western Carolina University,6-3,Mel Gibson,G,/players/g/gibsome01.html,180.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
1319,University of South Carolina Upstate,6-10,Mike Gibson,F,/players/g/gibsomi01.html,205.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
1320,University of Southern California,6-9,Taj Gibson,F,/players/g/gibsota01.html,225.0,0.0,0.333,0.0,8.2,0.58,4.8,0.629,4.6,2.9,105.0,12.4,3
1321,"University of Kansas, University of New Mexico",6-5,J.R. Giddens,G,/players/g/giddejr01.html,215.0,4.8,0.35,1.7,10.9,0.464,5.1,0.602,2.5,1.5,122.0,13.3,1
1322,"McNeese State University, Northwestern State University",6-9,Trey Gilder,F,/players/g/gildetr01.html,185.0,1.5,0.263,0.4,9.8,0.4970000000000001,4.9,0.7829999999999999,5.1,4.0,62.0,14.1,3
1323,Weber State University,6-0,Eddie Gill,G,/players/g/gilled01.html,190.0,5.7,0.391,2.2,10.8,0.41,4.4,0.866,4.7,4.0,61.0,15.1,1
1324,University of Illinois at Urbana-Champaign,6-5,Kendall Gill,G,/players/g/gillke01.html,195.0,1.9,0.374,0.7,8.9,0.501,4.5,0.755,3.2,2.4,117.0,12.0,1
1325,Georgetown University,7-0,Ben Gillery,C,/players/g/gillebe01.html,235.0,0.0,0.25,0.0,1.5,0.557,0.8,0.467,0.9,0.4,52.0,2.1,2
1326,Montana State University,6-6,Jack Gillespie,F,/players/g/gilleja01.html,215.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
1327,"University of Nevada, Las Vegas",6-9,Armen Gilliam,F-C,/players/g/gilliar01.html,230.0,0.1,0.28800000000000003,0.0,9.6,0.535,5.2,0.679,4.2,2.7,100.0,13.5,3
1328,Purdue University,6-3,Herm Gilliam,G-F,/players/g/gillihe01.html,190.0,3.1,0.355,1.2,11.0,0.477,5.2,0.7375,3.8,2.7,103.0,13.9,1
1329,"Gardner-Webb University, Jacksonville University",7-2,Artis Gilmore,C,/players/g/gilmoar01.html,240.0,0.0,0.25,0.0,17.3,0.574,9.9,0.615,7.2,4.4,54.0,24.3,0
1330,Fort Valley State University,6-6,Walt Gilmore,F,/players/g/gilmowa01.html,225.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
1331,University of Washington,6-4,Chuck Gilmur,F-C,/players/g/gilmuch01.html,225.0,0.1,0.28800000000000003,0.0,9.6,0.535,5.2,0.679,4.2,2.7,100.0,13.5,3
1332,University of Kentucky,6-5,Jack Givens,F-G,/players/g/givenja01.html,205.0,2.4,0.36,0.9,13.3,0.515,6.9,0.7979999999999999,3.6,2.9,123.0,16.6,1
1333,Alabama A&M University,6-11,Mickell Gladness,C,/players/g/gladnmi01.html,220.0,0.0,0.0,0.0,5.8,0.442,2.6,0.667,3.2,2.1,85.0,7.3,2
1334,University of North Carolina,6-6,George Glamack,C-F,/players/g/glamage01.html,225.0,0.1,0.222,0.0,9.7,0.5455000000000001,5.15,0.6619999999999999,4.05,2.75,93.5,13.4,3
1335,"Delta State University, University of Mississippi",6-5,Gerald Glass,G-F,/players/g/glassge01.html,221.0,3.9,0.377,1.5,19.9,0.511,10.2,0.736,5.8,4.3,60.0,26.1,0
1336,Southern Illinois University,6-2,Mike Glenn,G,/players/g/glennmi01.html,175.0,3.8,0.366,1.4,14.4,0.5710000000000001,8.2,0.875,1.8,1.6,104.0,18.1,1
1337,Loyola Marymount University,6-7,Normie Glick,F,/players/g/glickno01.html,190.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
1338,Western Kentucky University,6-8,Clarence Glover,F,/players/g/glovecl01.html,210.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
1339,Georgia Institute of Technology,6-5,Dion Glover,G,/players/g/glovedi01.html,228.0,5.0,0.271,1.4,15.2,0.441,6.7,0.64,5.6,3.6,33.0,18.4,0
1340,Duke University,6-11,Mike Gminski,C,/players/g/gminsmi01.html,250.0,0.0,0.25,0.0,13.9,0.531,7.4,0.792,5.4,4.3,122.0,19.0,0
1341,University of Evansville,6-10,Dan Godfread,C,/players/g/godfrda01.html,250.0,0.0,0.5,0.0,9.3,0.6,5.6,0.695,3.4,2.4,102.0,13.6,3
1342,La Salle University,6-6,Tom Gola,G-F,/players/g/golato01.html,205.0,3.1,0.355,1.2,11.0,0.477,5.2,0.7375,3.8,2.7,103.0,13.9,1
1343,George Washington University,6-1,Ben Goldfaden,F,/players/g/goldfbe01.html,185.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
1344,University of Houston,6-1,Anthony Goldwire,G,/players/g/goldwan01.html,182.0,3.7,0.294,1.1,11.9,0.417,5.0,0.7959999999999999,5.8,4.6,57.0,15.6,0
1345,Providence College,6-7,Ryan Gomes,F,/players/g/gomesry01.html,250.0,2.0,0.35200000000000004,0.7,13.0,0.519,6.8,0.789,5.3,4.2,116.0,18.4,0
1346,"University of Nevada, Las Vegas",6-6,Glen Gondrezick,F-G,/players/g/gondrgl01.html,218.0,2.4,0.36,0.9,9.8,0.474,4.6,0.727,2.9,2.1,115.0,11.4,1
1347,Pepperdine University,6-5,Grant Gondrezick,G,/players/g/gondrgr01.html,205.0,3.8,0.366,1.4,7.2,0.504,3.6,0.773,2.3,1.8,102.0,9.1,1
1348,University of Kansas,6-10,Drew Gooden,F,/players/g/goodedr01.html,250.0,0.6,0.306,0.2,12.3,0.493,6.1,0.698,4.7,3.3,98.0,15.6,3
1349,"University of California, Los Angeles",6-1,Gail Goodrich,G,/players/g/goodrga01.html,170.0,3.8,0.366,1.4,15.0,0.476,7.2,0.7020000000000001,6.7,4.7,89.0,19.0,0
1350,Princeton University,6-10,Steve Goodrich,F,/players/g/goodrst01.html,220.0,1.4,0.388,0.6,7.1,0.588,4.2,0.695,2.6,1.8,112.0,10.8,2
1351,University of Kentucky,6-5,Archie Goodwin,G,/players/g/goodwar01.html,200.0,1.9,0.266,0.5,10.8,0.44,4.8,0.637,6.4,4.1,33.0,14.1,3
1352,University of Arizona,6-9,Aaron Gordon,F,/players/g/gordoaa01.html,220.0,1.2,0.35600000000000004,0.4,10.1,0.495,5.0,0.422,4.7,2.0,38.0,12.4,3
1353,University of Connecticut,6-3,Ben Gordon,G,/players/g/gordobe01.html,200.0,5.5,0.423,2.3,12.7,0.44,5.6,0.795,4.4,3.5,106.0,16.9,1
1354,"University of California, Los Angeles, University of New Mexico",6-9,Drew Gordon,F,/players/g/gordodr01.html,245.0,0.0,0.5,0.0,7.4,0.541,4.0,0.69,2.7,1.9,101.0,10.0,2
1355,Indiana University,6-4,Eric Gordon,G,/players/g/gordoer01.html,215.0,6.5,0.337,2.2,13.3,0.433,5.8,0.8340000000000001,8.7,7.2,32.0,20.9,0
1356,University of Louisville,6-3,Lancaster Gordon,G,/players/g/gordola01.html,185.0,3.8,0.366,1.4,10.1,0.504,5.1,0.7509999999999999,2.5,1.9,134.0,12.0,1
1357,University of Notre Dame,6-3,Paul Gordon,F,/players/g/gordopa01.html,185.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
1358,College of Charleston,6-3,Andrew Goudelock,G,/players/g/goudean01.html,200.0,6.8,0.413,2.8,14.9,0.457,6.8,0.838,2.2,1.9,140.0,18.4,1
1359,Saint Mary of the Plains College,6-10,Gerald Govan,F-C,/players/g/govange01.html,220.0,0.1,0.28800000000000003,0.0,9.6,0.535,5.2,0.679,4.2,2.7,100.0,13.5,3
1360,DePaul University,5-11,Bato Govedarica,G,/players/g/govedba01.html,185.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
1361,"Midland College, University of Oklahoma",6-1,Ricky Grace,G,/players/g/graceri01.html,180.0,5.1,0.385,2.0,9.9,0.454,4.5,0.7,3.0,2.1,72.0,13.0,1
1362,Gannon University,6-2,Calvin Graham,G,/players/g/grahaca01.html,195.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
1363,Indiana University,6-4,Greg Graham,G,/players/g/grahagr01.html,174.0,1.9,0.439,0.8,7.5,0.514,3.8,0.7659999999999999,4.6,3.5,132.0,12.0,1
1364,"University of Central Florida, Oklahoma State University",6-7,Joey Graham,F,/players/g/grahajo01.html,225.0,1.5,0.378,0.6,8.8,0.527,4.7,0.809,3.9,3.1,128.0,13.0,3
1365,New York University,6-1,Mal Graham,G,/players/g/grahama01.html,185.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
1366,"West Texas A&M University, Auburn University at Montgomery",6-8,Orlando Graham,F,/players/g/grahaor01.html,220.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
1367,Ohio University,6-6,Paul Graham,F-G,/players/g/grahapa01.html,200.0,1.2,0.3720000000000001,0.4,14.7,0.508,7.4,0.78,5.8,4.5,110.0,19.7,0
1368,"University of Central Florida, Oklahoma State University",6-6,Stephen Graham,G,/players/g/grahast01.html,215.0,1.3,0.385,0.5,4.6,0.458,2.1,0.747,2.0,1.5,119.0,6.2,2
1369,Virginia Commonwealth University,6-6,Treveon Graham,G,/players/g/grahatr01.html,220.0,4.0,0.354,1.4,10.2,0.4320000000000001,4.4,0.691,4.6,3.2,140.0,13.4,1
1370,"University of Florida, University of South Florida",7-0,Jim Grandholm,F-C,/players/g/grandji01.html,235.0,0.5,0.313,0.2,6.3,0.501,3.2,0.7390000000000001,3.1,2.3,114.0,9.4,2
1371,"University of California, Irvine, University of New Orleans",6-6,Ron Grandison,F,/players/g/grandro01.html,215.0,0.0,0.0,0.0,8.0,0.521,4.2,0.623,4.4,2.8,115.0,11.1,2
1372,"Bradley University, University of New Mexico",6-9,Danny Granger,F,/players/g/grangda01.html,222.0,2.2,0.366,0.8,11.2,0.496,5.6,0.753,6.3,4.7,95.0,16.7,0
1373,Villanova University,6-3,Stewart Granger,G,/players/g/grangst01.html,190.0,3.8,0.366,1.4,7.8,0.51,4.0,0.7440000000000001,3.3,2.5,125.0,10.5,1
1374,Xavier University,6-9,Brian Grant,F,/players/g/grantbr01.html,254.0,0.0,0.333,0.0,9.4,0.594,5.6,0.6759999999999999,5.1,3.5,117.0,14.7,3
1375,University of Minnesota,6-3,Bud Grant,F,/players/g/grantbu01.html,195.0,0.9,0.333,0.3,9.6,0.511,3.2,1.088,1.7,1.9,33.0,8.4,1
1376,University of Michigan,6-3,Gary Grant,G,/players/g/grantga01.html,185.0,2.5,0.461,1.2,13.1,0.528,6.9,0.79,3.5,2.7,129.0,17.2,1
1377,Trenton State University,5-7,Greg Grant,G,/players/g/grantgr01.html,140.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
1378,"Clemson University, University of Oklahoma",6-8,Harvey Grant,F,/players/g/grantha01.html,195.0,0.2,0.2,0.0,11.8,0.537,6.3,0.713,3.6,2.5,101.0,15.2,3
1379,Clemson University,6-10,Horace Grant,F-C,/players/g/grantho01.html,215.0,0.1,0.5,0.0,9.0,0.598,5.4,0.7040000000000001,4.4,3.1,122.0,13.9,3
1380,Syracuse University,6-8,Jerami Grant,F,/players/g/grantje01.html,210.0,0.3,0.3,0.1,5.3,0.486,2.6,0.6409999999999999,3.5,2.2,72.0,7.5,2
1381,University of Notre Dame,6-4,Jerian Grant,G,/players/g/grantje02.html,195.0,4.4,0.345,1.5,10.7,0.436,4.7,0.79,4.8,3.8,119.0,14.6,1
1382,University of Utah,6-9,Josh Grant,F,/players/g/grantjo01.html,223.0,3.1,0.378,1.2,11.2,0.494,5.5,0.8270000000000001,3.6,3.0,131.0,15.3,1
1383,"Boston College, University of Wisconsin",7-0,Paul Grant,C,/players/g/grantpa01.html,245.0,0.0,0.0,0.0,4.9,0.498,2.4,0.6990000000000001,2.0,1.4,116.0,6.3,2
1384,Kentucky State University,6-7,Travis Grant,F,/players/g/granttr01.html,215.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
1385,Ohio State University,6-2,Don Grate,F-G,/players/g/gratedo01.html,185.0,2.4,0.36,0.9,11.6,0.496,5.8,0.7304999999999999,4.15,3.0,108.0,15.1,1
1386,Yale University,6-3,Butch Graves,G,/players/g/gravebu01.html,200.0,3.8,0.366,1.4,15.9,0.499,7.9,0.6759999999999999,6.6,4.5,103.0,20.3,0
1387,University of Pittsburgh,7-0,Aaron Gray,C,/players/g/grayaa01.html,270.0,0.0,0.25,0.0,7.0,0.55,3.8,0.595,3.6,2.1,113.0,9.8,2
1388,Clemson University,6-7,Devin Gray,F,/players/g/grayde01.html,240.0,0.5,0.3,0.2,10.6,0.546,5.8,0.563,4.2,2.4,94.0,14.1,3
1389,"University of Tennessee, University of California",6-3,Ed Gray,G,/players/g/grayed01.html,210.0,5.2,0.302,1.6,15.2,0.422,6.4,0.773,5.1,4.0,81.0,18.3,0
1390,"University of Nevada, Las Vegas",6-7,Evric Gray,F,/players/g/grayev01.html,235.0,2.6,0.336,0.9,8.2,0.4920000000000001,4.0,0.684,3.2,2.2,92.0,11.1,2
1391,Oklahoma City University,6-1,Gary Gray,G,/players/g/grayga01.html,185.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
1392,Louisiana State University,6-1,Josh Gray,G,/players/g/grayjo01.html,180.0,1.8,0.21600000000000005,0.4,7.1,0.392,2.8,0.6509999999999999,2.0,1.3,94.0,7.3,2
1393,"California State University, Long Beach",6-8,Leonard Gray,F,/players/g/grayle01.html,240.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
1394,"University of California, Los Angeles",7-0,Stuart Gray,C-F,/players/g/grayst01.html,235.0,0.1,0.222,0.0,5.4,0.573,3.1,0.564,2.3,1.3,78.0,7.5,2
1395,University of Memphis,6-6,Sylvester Gray,F,/players/g/graysy01.html,230.0,0.0,0.0,0.0,10.2,0.5429999999999999,5.5,0.517,3.0,1.5,39.0,12.6,2
1396,Harvard University,6-1,Wyndol Gray,G-F,/players/g/graywy01.html,175.0,3.1,0.355,1.2,11.0,0.477,5.2,0.7375,3.8,2.7,103.0,13.9,1
1397,Iowa State University,6-5,Jeff Grayer,F-G,/players/g/grayeje01.html,200.0,1.4,0.329,0.5,14.8,0.526,7.8,0.6859999999999999,6.1,4.2,125.0,20.0,0
1398,Rutgers University,6-7,Bob Greacen,F,/players/g/greacbo01.html,206.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
1399,Oregon State University,6-9,A.C. Green,F-C,/players/g/greenac01.html,220.0,0.1,0.28800000000000003,0.0,8.8,0.602,5.3,0.696,5.9,4.1,115.0,14.7,3
1400,University of North Carolina,6-6,Danny Green,G-F,/players/g/greenda02.html,215.0,3.4,0.375,1.3,7.4,0.455,3.4,0.845,1.6,1.4,145.0,9.4,1
1401,Hampton University,6-7,Devin Green,G,/players/g/greende01.html,210.0,3.5,0.34700000000000003,1.2,11.0,0.452,5.0,0.736,4.3,3.1,123.0,14.3,1
1402,Michigan State University,6-7,Draymond Green,F,/players/g/greendr01.html,230.0,1.7,0.361,0.6,8.0,0.467,3.7,0.687,3.4,2.3,145.0,10.5,2
1403,Virginia Polytechnic Institute and State University,6-4,Erick Green,G,/players/g/greener01.html,185.0,3.2,0.338,1.1,10.5,0.4370000000000001,4.6,0.804,4.0,3.2,129.0,13.5,1
1404,University of Alabama,6-9,JaMychal Green,F,/players/g/greenja01.html,227.0,0.1,0.17600000000000002,0.0,9.6,0.519,5.0,0.711,4.9,3.5,123.0,13.5,3
1405,Georgetown University,6-9,Jeff Green,F,/players/g/greenje02.html,235.0,2.4,0.359,0.9,9.7,0.488,4.8,0.7,3.9,2.7,102.0,13.1,3
1406,Michigan State University,6-5,Johnny Green,F-C,/players/g/greenjo01.html,200.0,0.1,0.28800000000000003,0.0,9.6,0.535,5.2,0.679,4.2,2.7,100.0,13.5,3
1407,University of Texas-Pan American,6-8,Ken Green,F,/players/g/greenke01.html,215.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
1408,Wake Forest University,6-6,Kenny Green,F,/players/g/greenke02.html,210.0,0.9,0.333,0.3,11.5,0.5429999999999999,6.2,0.662,3.7,2.4,84.0,14.9,3
1409,Morehead State University,6-7,Lamar Green,F-C,/players/g/greenla01.html,210.0,0.1,0.28800000000000003,0.0,9.6,0.535,5.2,0.679,4.2,2.7,100.0,13.5,3
1410,University of Georgia,6-1,Litterial Green,G,/players/g/greenli01.html,185.0,4.7,0.395,1.9,13.9,0.418,5.8,0.737,6.4,4.7,116.0,18.2,0
