,college,height,name,position,url,weight,3PA,3P%,3P,FGA,FG%,FG,FT%,FTA,FT,G,PTS,labels
207,North Carolina State University,6-5,Ed Bartels,F,/players/b/barteed01.html,195.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
208,Oregon State University,7-0,Vic Bartolome,C,/players/b/bartovi01.html,230.0,0.0,0.25,0.0,7.4,0.5429999999999999,4.1,0.648,3.5,2.2,102.0,10.5,2
209,University of Memphis,6-6,Will Barton,G,/players/b/bartowi01.html,175.0,3.6,0.299,1.1,12.0,0.471,5.7,0.733,3.7,2.7,70.0,15.2,1
210,University of North Carolina at Charlotte,6-5,Eddie Basden,G,/players/b/basdeed01.html,215.0,1.0,0.353,0.4,6.3,0.491,3.1,0.687,3.6,2.5,118.0,9.0,2
211,Temple University,6-7,Jerry Baskerville,F,/players/b/baskeje01.html,190.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
212,Louisiana State University,6-8,Brandon Bass,F,/players/b/bassbr01.html,250.0,0.8,0.378,0.3,9.5,0.54,5.1,0.78,5.8,4.6,59.0,15.1,3
213,University of Georgia,6-8,Tim Bassett,F-C,/players/b/basseti01.html,225.0,0.1,0.28800000000000003,0.0,12.7,0.4970000000000001,6.3,0.542,3.2,1.7,52.0,14.4,3
214,University of Michigan,6-9,Maceo Baston,F,/players/b/bastoma01.html,215.0,0.0,0.0,0.0,6.0,0.627,3.7,0.648,4.9,3.2,126.0,10.6,2
215,Kentucky State University,6-4,Billy Ray Bates,G,/players/b/batesbi01.html,210.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
216,Arizona State University,6-8,Mike Batiste,F,/players/b/batismi01.html,225.0,2.0,0.301,0.6,11.9,0.4970000000000001,5.9,0.654,3.5,2.3,76.0,14.7,3
217,Texas Tech University,6-11,Tony Battie,C-F,/players/b/battito01.html,230.0,0.4,0.278,0.1,7.7,0.545,4.2,0.649,3.3,2.1,87.0,10.7,2
218,Duke University,6-8,Shane Battier,F,/players/b/battish01.html,220.0,4.1,0.416,1.7,8.9,0.5,4.5,0.777,3.8,3.0,146.0,13.6,1
219,Rutgers University,6-2,John Battle,G,/players/b/battljo01.html,175.0,1.3,0.342,0.4,9.6,0.488,4.7,0.7070000000000001,3.6,2.5,114.0,11.9,3
220,"Northern Illinois University, University of Illinois at Urbana-Champaign",6-6,Kenny Battle,F,/players/b/battlke01.html,210.0,0.3,0.5,0.1,11.6,0.569,6.6,0.6859999999999999,6.6,4.5,123.0,17.8,0
221,University of Notre Dame,6-10,Dave Batton,C,/players/b/battoda01.html,240.0,0.0,0.25,0.0,8.6,0.5329999999999999,4.6,0.6990000000000001,2.1,1.4,114.0,10.6,2
222,University of Cincinnati,6-4,Lloyd Batts,G-F,/players/b/battsll01.html,185.0,3.1,0.355,1.2,11.0,0.477,5.2,0.7375,3.8,2.7,103.0,13.9,1
223,Temple University,6-5,Johnny Baum,F,/players/b/baumjo01.html,200.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
224,Ohio University,5-10,Frankie Baumholtz,G,/players/b/baumhfr01.html,170.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
225,University of Maryland,6-8,Lonny Baxter,F,/players/b/baxtelo01.html,260.0,0.0,0.6,0.0,9.3,0.5529999999999999,5.2,0.6,5.2,3.1,138.0,13.5,3
226,University of Arizona,6-3,Jerryd Bayless,G,/players/b/bayleje01.html,200.0,4.8,0.407,2.0,12.6,0.458,5.8,0.8390000000000001,7.4,6.2,30.0,19.7,0
227,"Albertson College of Idaho, Seattle University",6-5,Elgin Baylor,F,/players/b/bayloel01.html,225.0,0.9,0.333,0.3,23.2,0.498,11.6,0.784,10.4,8.1,54.0,31.2,0
228,University of Tennessee,6-6,Howard Bayne,F,/players/b/bayneho01.html,235.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
229,Washington State University,6-10,Aron Baynes,C,/players/b/baynear01.html,260.0,0.0,0.333,0.0,5.9,0.546,3.2,0.698,3.2,2.3,122.0,8.7,2
230,Old Dominion University,6-5,Kent Bazemore,G-F,/players/b/bazemke01.html,201.0,2.1,0.334,0.7,8.3,0.447,3.7,0.581,3.5,2.0,140.0,10.1,2
231,West Virginia University,6-3,Ed Beach,F,/players/b/beached01.html,200.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
232,University of Florida,6-5,Bradley Beal,G,/players/b/bealbr01.html,207.0,5.0,0.339,1.7,10.6,0.445,4.7,0.769,4.7,3.6,37.0,14.8,1
233,Norfolk State University,6-9,Al Beard,C,/players/b/beardal01.html,200.0,0.0,0.25,0.0,7.4,0.5429999999999999,4.1,0.648,3.5,2.2,102.0,10.5,2
234,University of Louisville,6-3,Butch Beard,G,/players/b/beardbu01.html,185.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
235,University of Kentucky,5-10,Ralph Beard,G,/players/b/beardra01.html,175.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
236,Southern Methodist University,6-5,Charles Beasley,G-F,/players/b/beaslch01.html,190.0,3.1,0.355,1.2,11.0,0.477,5.2,0.7375,3.8,2.7,103.0,13.9,1
237,"Midland College, University of North Dakota",6-10,Jerome Beasley,F,/players/b/beaslje01.html,237.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
238,Texas A&M University,6-9,John Beasley,F-C,/players/b/beasljo01.html,225.0,0.1,0.28800000000000003,0.0,9.6,0.535,5.2,0.679,4.2,2.7,100.0,13.5,3
239,Florida State University,6-5,Malik Beasley,G,/players/b/beaslma01.html,196.0,4.2,0.387,1.6,11.6,0.471,5.4,0.813,3.8,3.1,34.0,15.6,1
240,Kansas State University,6-9,Michael Beasley,F,/players/b/beaslmi01.html,235.0,2.9,0.379,1.1,17.5,0.532,9.3,0.774,8.5,6.5,33.0,26.2,0
241,Prairie View A&M University,6-9,Zelmo Beaty,C,/players/b/beatyze01.html,225.0,0.0,0.25,0.0,7.4,0.5429999999999999,4.1,0.648,3.5,2.2,102.0,10.5,2
242,University of Denver,6-9,Byron Beck,C-F,/players/b/beckby01.html,225.0,0.1,0.222,0.0,9.7,0.5455000000000001,5.15,0.6619999999999999,4.05,2.75,93.5,13.4,3
243,"South Plains College, University of Arkansas",6-1,Corey Beck,G,/players/b/beckco01.html,190.0,0.6,0.468,0.3,5.0,0.498,2.5,0.67,4.1,2.7,103.0,7.9,2
244,University of Pennsylvania,6-4,Ernie Beck,G-F,/players/b/becker01.html,190.0,3.1,0.355,1.2,11.0,0.477,5.2,0.7375,3.8,2.7,103.0,13.9,1
245,Arizona State University,6-7,Arthur Becker,F,/players/b/beckear01.html,205.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
246,Duquesne University,6-1,Moe Becker,G-F,/players/b/beckemo01.html,185.0,3.1,0.355,1.2,11.0,0.477,5.2,0.7375,3.8,2.7,103.0,13.9,1
247,Stanford University,6-7,Bob Bedell,F,/players/b/bedelbo01.html,205.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
248,University of Memphis,7-0,William Bedford,C,/players/b/bedfowi01.html,225.0,0.0,0.25,0.0,9.7,0.5670000000000001,5.5,0.626,3.4,2.1,93.0,13.2,3
249,Long Island University,6-6,Hank Beenders,C-F,/players/b/beendha01.html,185.0,0.1,0.222,0.0,9.7,0.5455000000000001,5.15,0.6619999999999999,4.05,2.75,93.5,13.4,3
250,University of Minnesota,6-9,Ron Behagen,F-C,/players/b/behagro01.html,185.0,0.1,0.28800000000000003,0.0,14.9,0.473,7.1,0.706,4.7,3.3,40.0,17.4,0
251,Bradley University,6-7,Elmer Behnke,C,/players/b/behnkel01.html,210.0,0.0,0.25,0.0,7.4,0.5429999999999999,4.1,0.648,3.5,2.2,102.0,10.5,2
252,Michigan State University,6-3,Charlie Bell,G,/players/b/bellch01.html,200.0,2.6,0.343,0.9,8.5,0.439,3.7,0.782,2.8,2.2,140.0,10.5,1
253,Drake University,6-5,Dennis Bell,F,/players/b/bellde01.html,185.0,0.9,0.333,0.3,9.6,0.511,4.9,0.7,3.9,2.7,107.0,13.1,3
254,University of Oregon,6-9,Jordan Bell,F,/players/b/belljo01.html,224.0,0.2,0.188,0.0,5.4,0.61,3.3,0.63,1.8,1.2,105.0,7.8,2
255,"Boston University, Florida International University",6-5,Raja Bell,G,/players/b/bellra01.html,204.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
256,Boston College,6-1,Troy Bell,G,/players/b/belltr01.html,180.0,6.6,0.3720000000000001,2.5,14.7,0.424,6.2,0.868,7.6,6.6,122.0,21.6,0
257,North Carolina State University,6-0,Whitey Bell,G,/players/b/bellwh01.html,180.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
258,Indiana University,6-11,Walt Bellamy,C,/players/b/bellawa01.html,225.0,0.0,0.25,0.0,15.3,0.517,7.9,0.654,7.2,4.7,70.0,20.6,0
259,Saint Joseph's University,6-6,DeAndre' Bembry,F,/players/b/bembrde01.html,210.0,3.8,0.312,1.2,12.6,0.457,5.7,0.628,4.9,3.1,101.0,15.7,1
260,University of Illinois at Urbana-Champaign,6-3,Irv Bemoras,F-G,/players/b/bemorir01.html,185.0,2.4,0.36,0.9,11.6,0.496,5.8,0.7304999999999999,4.15,3.0,108.0,15.1,1
261,Jacksonville University,6-4,Leon Benbow,G,/players/b/benbole01.html,185.0,3.8,0.366,1.4,10.7,0.455,4.9,0.7559999999999999,3.8,2.8,109.0,14.0,1
